         1         1         1         1         1         1         1         1         0         1         3         3         0         0         0         0         0         7         0         7         7         0         0         7         7         7         0         7         0         0         7         0         0       120       120         0         0         0        12        12         0       113       113       113         0       113         0        12        12        12        12         0       115       115         0        15         0         0        15        15        15        15        15        15        15         0        15        15        15        15        15        15        15        15         0         0        21        21         0         0        21         0         0        21        21         0        25        25        25        25        25        25         0        25         0        25         0         0         0         0
         0         1         1         1         0         1         0         1         1         1         0         3         3         0       124       124         0         0         7         7         7         7         0         0         7         7         0         7         7         7         7         0       126         0         0        99        99        12        12        12         0       113         0       113       113       113       113         0        12        12        12         0       115         0        15        15        15         0         0         0        15         0        15         0        15         0        15        15        15        15         0        15        15         0         0         0        21         0        21        21        21        21         0        21         0         0         0        25         0         0         0        25        25         0       130         0       131         0       132         0
         0         0         1         1         0         1         1         0         1         1         0         0         3         0         0         0         0       133         0         7         0         7         7         0         7         0         0         0         7         7         0       134         0       135         0        99         0        12         0        12         0       113       113       113       113         0         0         0        12        12         0        12       115         0        15         0        15        15         0         0        15        15         0        15        15        15        15        15         0        15        15         0        15         0       138         0         0        21        21        21         0        21         0        21         0         0         0         0       140         0       141         0         0       142         0         0         0         0       132       132
         1         1         0         1         1         1         1         0         0         0       144         0         3         0         0         0       133       133       133         0         0         0         7         7         0         0         0         7         7         7         7         0         0       135         0         0         0        12        12        12        12         0         0       113         0         0         0        12        12        12        12        12         0        15        15        15         0         0         0        15        15        15        15        15        15        15        15        15         0         0        15         0         0       150         0         0        21        21        21         0         0         0       152         0         0         0       153         0         0       141       141       141       141         0       155         0       156         0       132       132
         0         1         0         1         0         1         1         1         0         0         0       157         0       133       133         0       133         0       133         0         0         7         7         0         0         7         7         7         7         7         0       161       161         0         0         0        12        12        12        12        12         0         0         0        12        12         0        12        12         0         0        12        12         0        15        15         0         0         0        15        15        15        15        15         0         0        15        15        15         0         0       164       164         0         0        21        21        21        21        21        21         0       152       152         0       141         0         0       166         0       141       141         0         0         0         0         0         0       132         0
         1         1         0         1         0         1         1         0         0         1         0       157         0       133       133       133       133       133         0       170       170         0         0         0         0         7         0         7         7         0         0       161       161         0       171         0        12        12        12        12        12        12        12        12        12        12        12        12        12         0        12         0         0         0         0        15        15        15         0        15        15         0        15         0       173       173         0        15         0         0        21         0         0       175         0        21        21         0        21         0         0         0         0         0         0       141         0       141       141       141       141       141         0       141       141       141       132       132       132       132
         0         1         1         1         1         1         0         0         0         1         1         0       133       133       133         0       133         0       179         0         0         0       160       160         7         7         0         0         0       181       181         0         0       171       171         0        12        12        12         0        12        12        12        12         0         0         0         0        12        12        12        12         0         0         0        15         0        15        15        15        15        15         0       183         0       173       173         0       174        21        21         0         0       175         0        21        21        21         0         0        21       166       166         0         0       141       141       141       141         0       141       141       141       141       141       141         0       132       132       132
         1         0         1         1         1         0         0         0         1         1         1         0         0       133       133       133       133         0       179         0         0       160       160         0         7         0       189       189       189         0         0         0       171       171       171       171         0        12        12         0         0         0        12         0         0        12        12        12        12         0         0         0       192       192         0         0         0        15        15        15        15        15        15         0       193         0         0       174        21        21        21        21        21         0        21        21        21        21        21        21        21         0       166         0         0       141         0       141         0       141         0       141         0         0       141         0       141         0       132       132
         1         1         1         1         1         1         0         1         1         0         1         0         0         0       133         0         0         0         0       199       199         0       160         0         7         7         0       189         0         0       200       200         0       171         0         0         0        12        12        12        12        12        12        12         0        12         0         0         0       201         0         0         0         0       202         0        15        15        15         0         0        15         0         0       193       193         0         0        21        21        21        21        21         0        21        21         0         0         0         0        21         0       166       166       166         0       141       141       141       141       141       141       141       141       141       141       141         0         0         0
         0         1         0         0         1         1         0         1         0         1         1         0       206       206         0       207         0         0         0       199       199       199         0       189         0         0       189       189         0         0       200       200       200         0       210         0        12        12        12        12         0        12         0        12        12         0       212         0         0       201         0       213         0       213         0         0         0         0        15         0         0        15         0        15       193         0         0       216         0        21         0         0        21        21        21         0       217         0        21        21         0       166       166         0       166         0       141       141       141         0         0       141         0       141         0         0       141         0       220         0
         1         1         1         0         0         1         1         1         0         0         0       222         0         0         0         0       223         0         0       199       199         0       189       189       189       189       189       189         0       189       200       200         0       210       210         0         0         0        12         0         0        12        12        12        12        12         0       227         0         0       213       213       213       213         0        15        15        15        15        15         0        15        15        15         0       230         0         0       174         0         0        21        21         0        21        21         0        21         0        21        21         0         0       166       166         0         0       141       141       141         0       141       141       141       141       141       141       141         0       141
