#	X1	L1(X1)	L2(X1)
  2.81000   6.71269   2.92708
  2.82000   6.71738   2.93750
  2.83000   6.72205   2.94792
  2.84000   6.72672   2.95833
  2.85000   6.73137   2.96875
  2.86000   6.73602   2.97917
  2.87000   6.74065   2.98958
  2.88000   6.74528   3.00000
  2.89000   6.74989   3.01042
  2.90000   6.75450   3.02083
  2.91000   6.75909   3.03125
  2.92000   6.76368   3.04167
  2.93000   6.76825   3.05208
  2.94000   6.77282   3.06250
  2.95000   6.77737   3.07292
  2.96000   6.78192   3.08333
  2.97000   6.78645   3.09375
  2.98000   6.79098   3.10417
  2.99000   6.79549   3.11458
  3.00000   6.80000   3.12500
  3.01000   6.80449   3.13542
  3.02000   6.80898   3.14583
  3.03000   6.81345   3.15625
  3.04000   6.81792   3.16667
  3.05000   6.82237   3.17708
  3.06000   6.82682   3.18750
  3.07000   6.83125   3.19792
  3.08000   6.83568   3.20833
  3.09000   6.84009   3.21875
  3.10000   6.84450   3.22917
  3.11000   6.84889   3.23958
  3.12000   6.85328   3.25000
  3.13000   6.85765   3.26042
  3.14000   6.86202   3.27083
  3.15000   6.86637   3.28125
  3.16000   6.87072   3.29167
  3.17000   6.87505   3.30208
  3.18000   6.87938   3.31250
  3.19000   6.88369   3.32292
  3.20000   6.88800   3.33333
  3.21000   6.89229   3.34375
  3.22000   6.89658   3.35417
  3.23000   6.90085   3.36458
  3.24000   6.90512   3.37500
  3.25000   6.90937   3.38542
  3.26000   6.91362   3.39583
  3.27000   6.91785   3.40625
  3.28000   6.92208   3.41667
  3.29000   6.92629   3.42708
  3.30000   6.93050   3.43750
  3.31000   6.93469   3.44792
  3.32000   6.93888   3.45833
  3.33000   6.94305   3.46875
  3.34000   6.94722   3.47917
  3.35000   6.95137   3.48958
  3.36000   6.95552   3.50000
  3.37000   6.95965   3.51042
  3.38000   6.96378   3.52083
  3.39000   6.96789   3.53125
  3.40000   6.97200   3.54167
  3.41000   6.97609   3.55208
  3.42000   6.98018   3.56250
  3.43000   6.98425   3.57292
  3.44000   6.98832   3.58333
  3.45000   6.99237   3.59375
  3.46000   6.99642   3.60417
  3.47000   7.00045   3.61458
  3.48000   7.00448   3.62500
  3.49000   7.00849   3.63542
  3.50000   7.01250   3.64583
  3.51000   7.01649   3.65625
  3.52000   7.02048   3.66667
  3.53000   7.02445   3.67708
  3.54000   7.02842   3.68750
  3.55000   7.03237   3.69792
  3.56000   7.03632   3.70833
  3.57000   7.04025   3.71875
  3.58000   7.04418   3.72917
  3.59000   7.04809   3.73958
  3.60000   7.05200   3.75000
  3.61000   7.05589   3.76042
  3.62000   7.05978   3.77083
  3.63000   7.06365   3.78125
  3.64000   7.06752   3.79167
  3.65000   7.07137   3.80208
  3.66000   7.07522   3.81250
  3.67000   7.07905   3.82292
  3.68000   7.08288   3.83333
  3.69000   7.08669   3.84375
  3.70000   7.09050   3.85417
  3.71000   7.09429   3.86458
  3.72000   7.09808   3.87500
  3.73000   7.10185   3.88542
  3.74000   7.10562   3.89583
  3.75000   7.10937   3.90625
  3.76000   7.11312   3.91667
  3.77000   7.11685   3.92708
  3.78000   7.12058   3.93750
  3.79000   7.12429   3.94792
  3.80000   7.12800   3.95833
  3.81000   7.13169   3.96875
  3.82000   7.13538   3.97917
