# ALPHA_1 0.002
# ALPHA_2 0.001
# BETTA_1 0.004
# BETTA_2 0.001
# GAMMA_1 0.500
# GAMMA_2 0.500
# Y0 200.000
# Z0 2.000
# X_BEG 0.000
# X_END 100.000
# XDOTS_NUM 1000
# DX 0.100
 11.011 121.270  23.339
 11.111 121.167  23.892
 11.211 121.063  24.458
 11.311 120.956  25.035
 11.411 120.848  25.626
 11.512 120.738  26.229
 11.612 120.626  26.846
 11.712 120.512  27.476
 11.812 120.396  28.119
 11.912 120.278  28.776
 12.012 120.158  29.448
 12.112 120.036  30.134
 12.212 119.911  30.834
 12.312 119.784  31.550
 12.412 119.655  32.280
 12.513 119.523  33.026
 12.613 119.389  33.787
 12.713 119.252  34.564
 12.813 119.113  35.358
 12.913 118.970  36.167
 13.013 118.826  36.993
 13.113 118.678  37.836
 13.213 118.527  38.696
 13.313 118.374  39.574
 13.413 118.218  40.469
 13.514 118.058  41.381
 13.614 117.896  42.312
 13.714 117.730  43.261
 13.814 117.562  44.228
 13.914 117.390  45.215
 14.014 117.214  46.220
 14.114 117.036  47.245
 14.214 116.854  48.289
 14.314 116.668  49.352
 14.414 116.479  50.436
 14.515 116.287  51.539
 14.615 116.091  52.663
 14.715 115.891  53.808
 14.815 115.688  54.973
 14.915 115.481  56.159
 15.015 115.270  57.367
 15.115 115.055  58.595
 15.215 114.836  59.845
 15.315 114.614  61.117
 15.415 114.387  62.411
 15.516 114.157  63.726
 15.616 113.922  65.064
 15.716 113.683  66.424
 15.816 113.441  67.806
 15.916 113.194  69.211
 16.016 112.942  70.638
 16.116 112.687  72.088
 16.216 112.427  73.561
 16.316 112.163  75.057
 16.416 111.895  76.576
 16.517 111.622  78.118
 16.617 111.345  79.682
 16.717 111.063  81.270
 16.817 110.777  82.881
 16.917 110.487  84.515
 17.017 110.192  86.172
 17.117 109.893  87.853
 17.217 109.589  89.556
 17.317 109.280  91.282
 17.417 108.967  93.031
 17.518 108.650  94.802
 17.618 108.328  96.597
 17.718 108.001  98.414
 17.818 107.670 100.253
 17.918 107.334 102.115
 18.018 106.994 103.999
 18.118 106.649 105.905
 18.218 106.300 107.832
 18.318 105.946 109.781
 18.418 105.588 111.751
 18.519 105.226 113.742
 18.619 104.858 115.754
 18.719 104.487 117.787
 18.819 104.111 119.839
 18.919 103.731 121.912
 19.019 103.346 124.004
 19.119 102.957 126.115
 19.219 102.564 128.245
 19.319 102.167 130.393
 19.419 101.765 132.559
 19.520 101.359 134.743
